time,force
0.0,0.0085
0.1,0.395
0.2,0.2445
0.3,0.048
0.4,-0.0685
0.5,-0.3095
0.6,-0.2661
0.7,0.1705
0.8,0.3329
0.9,0.1277
1.0,-0.0063
1.1,-0.1211
1.2,-0.3079
1.3,-0.1641
1.4,0.2213
1.5,0.2386
1.6,0.0376
1.7,-0.0137
1.8,-0.175
1.9,-0.2833
2.0,0.0161
2.1,0.2535
2.2,0.1514
2.3,0.0005
2.4,-0.0472
2.5,-0.1959
2.6,-0.1977
2.7,0.1061
2.8,0.2132
2.9,0.0747
3.0,-0.0053
3.1,-0.058
3.2,-0.2004
3.3,-0.0986
3.4,0.1631
3.5,0.1484
3.6,0.0337
3.7,-0.026
3.8,-0.1158
3.9,-0.1708
4.0,0.0052
4.1,0.166
4.2,0.0963
4.3,0.0078
4.4,-0.0365
4.5,-0.1314
4.6,-0.123
4.7,0.0725
4.8,0.1429
4.9,0.0396
5.0,0.0018
5.1,-0.0498
5.2,-0.1327
5.3,-0.0546
5.4,0.1061
5.5,0.1066
5.6,0.0165
5.7,-0.0087
5.8,-0.0667
5.9,-0.1064
6.0,-0.0022
6.1,0.1053
6.2,0.0577
6.3,0.0012
6.4,-0.0139
6.5,-0.0762
6.6,-0.0777
6.7,0.0465
6.8,0.0921
6.9,0.0297
7.0,0.0013
7.1,-0.0252
7.2,-0.0832
7.3,-0.0319
7.4,0.0561
7.5,0.0683
7.6,0.0136
7.7,-0.0056
7.8,-0.0437
7.9,-0.0774
8.0,-0.0006
8.1,0.0694
8.2,0.0444
8.3,0.0026
8.4,-0.0133
8.5,-0.0539
8.6,-0.0475
8.7,0.0282
8.8,0.0571
8.9,0.0219
9.0,0.0002
9.1,-0.0175
9.2,-0.0551
9.3,-0.0247
9.4,0.041
9.5,0.0391
9.6,0.0092
9.7,-0.0025
9.8,-0.0283
9.9,-0.0465
10.0,-0.0027
10.1,0.0432
10.2,0.0253
10.3,0.0012
10.4,-0.0075
10.5,-0.0332
10.6,-0.029
10.7,0.0179
10.8,0.038
10.9,0.0132
11.0,-0.0029
11.1,-0.0128
11.2,-0.0344
11.3,-0.012
11.4,0.0267
11.5,0.0276
11.6,0.0055
11.7,-0.0034
11.8,-0.0168
11.9,-0.0287
12.0,0.001
12.1,0.0273
12.2,0.0183
12.3,0.0001
12.4,-0.004
12.5,-0.0194
12.6,-0.0217
12.7,0.0108
12.8,0.0243
12.9,0.0081
13.0,-0.0015
13.1,-0.0081
13.2,-0.0232
13.3,-0.0095
13.4,0.0165
13.5,0.0189
13.6,0.0029
13.7,-0.0015
13.8,-0.0111
13.9,-0.0201
14.0,0.0002
14.1,0.0193
14.2,0.0095
14.3,0.0012
14.4,-0.0028
14.5,-0.0135
14.6,-0.0142
14.7,0.0064
14.8,0.016
14.9,0.0057
15.0,0.0002
